DC50 (nM),Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
50.3,1124.467,1123.604115,6.5,-5.89,81,8,14,5,24,213.5
50,1221.364,1220.400821,5.76,-5.1,87,11,20,4,24,272.95
50,1036.693,1035.433125,5.91,-6.58,73,7,12,5,21,200.76
50,1161.324,1160.554247,3.7,-5.18,84,9,16,6,25,319.9
50,891.987,891.4027723,2.82,-4.03,65,8,17,4,18,239.39
50,1026.133,1025.391716,4.7,-4.9,73,8,15,2,22,216.72
48.1,1128.307,1127.443181,5.5,-5.88,78,6,17,5,29,245
48,1134.772,1133.400505,4.38,-5.5,78,8,15,4,29,248.39
46,1484.157,1482.497791,6.5,-5.9,102,11,21,4,30,284.19
45.9,1168.286,1167.422348,5.82,-6.2,84,10,15,4,25,229.31
45.2,913.072,912.4558911,5.17,-4.67,67,9,14,5,17,201.15
45,1221.348,1220.502389,4.43,-5.42,86,8,21,3,37,282.74
44.5,842.032,841.3832827,4.24,-5.9,60,6,11,5,17,207.21
42,852.115,851.4404037,4.93,-6.27,61,5,9,6,19,181.86
41,950.151,949.4320445,4.85,-5.92,68,8,14,5,17,208.6
40.2,970.623,969.3544982,4.61,-5.63,67,7,14,5,15,214.98
40.1,1078.205,1077.411783,5.35,-6.15,77,8,14,5,23,228.87
40,1002.661,1001.36948,4.42,-5.56,69,7,15,4,20,211.49
37.9,1026.731,1025.417098,5.56,-5.81,71,7,14,5,19,214.98
36.9,1110.388,1109.529613,6.7,-6.42,80,8,14,3,28,194.22
35.7,842.922,842.3650701,3.99,-5.04,61,7,12,4,23,189.86
35,914.486,913.3348083,5.15,-5.23,64,7,14,5,16,221.13
35,970.053,969.4021036,4.57,-4.83,71,8,17,2,24,252.65
34.8,1070.354,1069.548412,5.9,-5.9,77,9,16,6,20,217.2
34.7,984.65,983.3701483,4.88,-5.67,68,7,14,5,16,214.98
34.5,995.232,994.4786603,5.06,-5.8,71,8,14,3,19,180.69
34.1,897.998,897.403441,3.26,-4.61,66,9,17,3,15,239.61
34,775.82,775.3289386,2.52,-4.65,56,5,15,5,23,244.77
33.8,1091.342,1090.519776,5.5,-6.51,78,6,15,5,33,232.11
33,815.852,815.3251907,2.19,-4.06,60,8,13,7,14,259.61
33,938.115,937.412058,4.5,-5.68,67,8,13,5,15,199.37
32,1173.612,1171.352656,7.29,-5.47,80,8,14,4,22,203.11
32,1064.324,1063.531344,4.42,-5.58,76,8,18,4,22,235.57
31,980.093,979.4552018,3.03,-4.23,71,8,19,4,24,257.85
30,841.391,840.2820445,4.47,-5.4,59,7,12,3,16,194.05
30,894.402,893.2897499,4.21,-5.91,62,6,12,6,17,212.79
28.8,927.138,926.4360466,4.48,-5.98,66,6,12,6,21,236.31
28,963.376,962.2802101,4.29,-5.6,69,8,15,4,19,238.07
27,992.986,992.3403921,4.71,-5.69,72,8,14,4,24,239.12
26.7,926.928,926.2880599,3.9,-5.3,65,6,15,4,22,236.79
26,950.151,949.4320445,4.83,-5.92,68,8,14,5,17,208.6
26,950.151,949.4320445,4.85,-5.92,68,8,14,5,17,208.6
25.3,1124.467,1123.604115,6.5,-5.89,81,8,14,5,24,213.5
25.1,1152.845,1151.531079,6.63,-6,80,8,15,5,22,214.56
25,901.437,900.3737166,5.01,-4.98,64,7,13,3,22,184.63
25,1042.18,1041.43425,5.12,-5.44,74,8,16,4,25,239.39
25,1016.327,1015.5466,5.68,-5.73,73,8,15,4,19,207.88
25,934.152,933.4371299,5.23,-6.02,67,8,13,5,16,199.37
24.2,891.987,891.4027723,2.73,-4,65,8,17,4,18,239.39
23.2,982.121,981.3488863,5.29,-5.76,68,6,14,5,19,217.31
23.1,1092.786,1091.41643,6.18,-5.94,76,8,15,4,22,211.49
23,859.855,858.306324,7.35,-5.52,61,8,7,1,7,114.86
20.9,1083.738,1082.47323,6.56,-6.13,75,7,14,6,22,220.11
20.8,1040.201,1039.390751,5.48,-5.82,72,6,15,5,23,226.54
20.4,870.086,869.4145828,4.71,-6.09,62,6,11,5,19,207.21
20,1080.746,1079.45934,6.01,-6.6,76,7,13,5,24,209.99
20,1020.651,1019.360058,5.06,-5.6,70,7,15,4,20,211.49
20,968.498,967.3314542,4.13,-5.08,68,8,18,4,20,248.1
20,1087.13,1086.432356,4.4,-5.12,79,9,17,3,22,236.82
20,1080.746,1079.45934,6.01,-6.6,76,7,13,5,24,209.99
20,1094.325,1093.521922,4.9,-5.75,78,9,18,4,22,235.57
20,1011.233,1010.566584,5.08,-4.84,73,7,14,5,20,215.89
20,1064.324,1063.531344,4.42,-5.58,76,8,18,4,22,235.57
18.8,1092.232,1091.427433,5.51,-6.19,78,8,14,5,24,228.87
18.5,1134.751,1133.465882,5.9,-5.35,79,7,19,5,31,267.28
17.9,998.677,997.3857983,5.11,-5.7,69,7,14,5,17,214.98
16.5,1036.693,1035.433125,5.91,-6.58,73,7,12,5,21,200.76
16,1059.23,1058.551328,3.77,-4.55,76,7,17,5,23,243.58
16,950.151,949.4320445,4.83,-5.92,68,8,14,5,17,208.6
15,890.962,890.2588275,2.65,-4.58,62,7,20,5,21,285.98
15,811.897,811.3653241,3.61,-4.17,59,7,14,4,17,213.73
15,1010.203,1009.379044,5.1,-5.74,71,8,12,5,16,210.03
15,1045.136,1044.39753,3.98,-5.41,74,8,17,3,25,245.82
15,1069.711,1068.45758,6.37,-5.99,74,7,14,5,21,211.32
